Device,Time,PH,ORP,Salinity,Temperature,Flow status
Device 01,2024-01-18 00:08:34,7.5,644,5181,25,1
Device 01,2024-01-18 10:24:45,7.6,611,5207,24,1
Device 01,2024-01-18 10:32:49,7.6,608,5205,24,1
Device 01,2024-01-18 10:39:53,7.6,607,5202,24,1
Device 01,2024-01-18 07:00:40,7.5,671,5024,24,1
Device 01,2024-01-18 07:01:36,7.5,664,5031,24,1
Device 01,2024-01-18 07:05:43,7.5,659,5218,24,1
Device 01,2024-01-18 07:31:36,7.5,647,5207,24,1
Device 01,2024-01-18 08:01:36,7.6,630,5205,24,1
Device 01,2024-01-18 08:03:01,7.6,616,5207,24,1
Device 01,2024-01-18 08:31:36,7.6,616,5209,25,1
Device 01,2024-01-18 09:31:36,7.6,609,5208,24,1
Device 01,2024-01-18 10:01:36,7.6,608,5205,24,1
Device 01,2024-01-18 10:23:44,7.6,608,5202,24,1
Device 01,2024-01-18 10:26:46,7.6,608,5040,24,1
Device 01,2024-01-18 10:27:47,7.6,608,4963,24,1
Device 01,2024-01-18 10:31:37,7.6,608,5213,24,1
Device 01,2024-01-18 10:31:49,7.6,607,5212,24,1
Device 01,2024-01-18 10:36:52,7.6,606,5018,24,1
Device 01,2024-01-18 10:38:53,7.6,606,5199,24,1
Device 01,2024-01-18 10:44:56,7.6,606,4952,24,1
Device 01,2024-01-18 11:01:37,7.7,606,5209,24,1
Device 01,2024-01-18 11:28:09,7.6,611,5205,24,1
Device 01,2024-01-18 11:29:09,7.5,611,4957,24,1
Device 01,2024-01-18 11:31:37,7.5,612,5192,24,1
Device 01,2024-01-18 11:43:14,7.5,612,5197,24,1
Device 01,2024-01-18 11:59:19,7.5,612,5291,24,1
Device 01,2024-01-18 19:01:39,7.87,695,5143,25,1
Device 01,2024-01-18 19:05:02,7.5,673,5211,25,1
Device 01,2024-01-18 19:09:04,7.5,649,5203,25,1
Device 01,2024-01-18 19:31:38,7.5,630,5203,26,1
Device 01,2024-01-18 19:34:12,7.84,621,5129,25,1
Device 01,2024-01-18 20:01:39,7.5,598,5206,25,1
Device 01,2024-01-18 20:44:32,7.5,601,5194,24,1
Device 01,2024-01-18 20:50:35,7.6,613,4968,24,1
Device 01,2024-01-18 20:52:36,7.6,614,5195,24,1
Device 01,2024-01-18 21:14:44,7.6,614,5206,24,1
Device 01,2024-01-18 21:31:39,7.6,619,5165,24,1
Device 01,2024-01-18 21:38:54,7.6,622,5199,24,1
Device 01,2024-01-18 21:39:55,7.6,624,5058,24,1
Device 01,2024-01-18 22:09:04,7.6,624,5199,24,1
Device 01,2024-01-18 22:25:09,7.6,629,5153,24,1
Device 01,2024-01-18 22:31:39,7.6,632,5195,24,1
Device 01,2024-01-18 23:01:40,7.6,633,5178,24,1
Device 01,2024-01-18 23:48:37,7.6,638,5139,24,1
Device 01,2024-01-18 23:58:41,7.6,645,4953,24,1
Device 01,2024-01-19 00:04:43,7.6,647,5210,23,1
Device 01,2024-01-19 08:01:41,7.6,645,5244,23,1
Device 01,2024-01-19 08:09:06,7.89,660,5175,22,1
Device 01,2024-01-19 08:31:42,7.5,636,5239,23,1
Device 01,2024-01-19 09:01:21,7.87,655,5142,22,1
Device 01,2024-01-19 09:01:42,7.5,632,5221,22,1
Device 01,2024-01-19 09:24:28,7.5,632,5230,23,1
Device 01,2024-01-19 09:38:32,7.5,632,5243,23,1
Device 01,2024-01-19 10:01:42,7.5,632,5224,23,1
Device 01,2024-01-19 10:21:46,7.5,632,5232,23,1
Device 01,2024-01-19 10:31:50,7.5,633,5142,23,1
Device 01,2024-01-19 10:36:52,7.5,634,5208,23,1
Device 01,2024-01-19 10:50:58,7.5,634,5245,22,1
Device 01,2024-01-18 11:01:36,7.5,634,5238,25,1
Device 01,2024-01-18 11:31:37,7.5,612,5204,25,1
Device 01,2024-01-18 11:44:15,7.88,634,5135,24,1
Device 01,2024-01-18 12:00:20,7.5,613,5192,24,1
Device 01,2024-01-18 19:15:06,7.5,670,5209,25,1
Device 01,2024-01-18 19:31:39,7.5,614,5204,25,1
Device 01,2024-01-18 20:31:40,7.5,599,5197,25,1
Device 01,2024-01-18 20:45:33,7.89,631,5137,24,1
Device 01,2024-01-18 21:01:39,7.5,613,5200,24,1
Device 01,2024-01-18 21:15:45,7.6,616,5207,24,1
Device 01,2024-01-18 22:01:39,7.6,619,5196,24,1
Device 01,2024-01-18 22:11:05,7.6,628,5194,24,1
Device 01,2024-01-18 22:24:09,7.6,630,5202,24,1
Device 01,2024-01-18 22:31:12,7.6,632,5152,24,1
Device 01,2024-01-18 22:31:39,7.6,633,5173,25,1
Device 01,2024-01-18 23:31:40,7.6,633,5183,24,1
Device 01,2024-01-18 23:41:34,7.6,643,5214,24,1
Device 01,2024-01-18 23:42:34,7.6,644,5144,24,1
Device 01,2024-01-18 23:45:36,7.6,644,5195,24,1
Device 01,2024-01-18 23:49:38,7.6,645,5211,24,1
Device 01,2024-01-18 23:59:42,7.6,645,5207,24,1
Device 01,2024-01-19 07:14:50,7.6,668,5253,22,1
Device 01,2024-01-19 08:31:42,7.6,652,5247,22,1
Device 01,2024-01-19 09:31:42,7.5,633,5223,23,1
Device 01,2024-01-19 09:39:33,7.5,632,5239,23,1
Device 01,2024-01-19 10:22:46,7.5,632,5232,23,1
Device 01,2024-01-19 10:30:49,7.5,634,5241,23,1
Device 01,2024-01-19 10:31:43,7.5,634,5020,23,1
Device 01,2024-01-19 10:35:51,7.5,634,5236,23,1
Device 01,2024-01-19 10:38:53,7.5,634,5024,23,1
Device 01,2024-01-19 10:40:54,7.5,634,4956,23,1
Device 01,2024-01-19 10:49:57,7.5,634,5243,22,1
Device 01,2024-01-19 11:00:01,7.5,634,5188,22,1
